Term,OriginalClarification,Rectification
Plugin,A functional module loaded into the main GUI,"'Plugin' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: A functional module loaded into the main GUI."
Basic version,Standard feature set (six plugins),"'Basic version' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Standard feature set (six plugins)."
Enhanced version,Version with extra features beyond basic,"'Enhanced version' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Version with extra features beyond basic."
Destination folder,Output directory for generated files,"'Destination folder' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Output directory for generated files."
Output options,Filename pattern and prefix variables,"'Output options' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Filename pattern and prefix variables."
Compression,Option to compress output PDF,"'Compression' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Option to compress output PDF."
Forms,PDF forms handling option when merging,"'Forms' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: PDF forms handling option when merging."
Default working directory,Directory used by default for saves/loads,"'Default working directory' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Directory used by default for saves/loads."
Default environment,Previously saved environment loaded at startup,"'Default environment' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Previously saved environment loaded at startup."
Working environment,Full state of GUI/plugins saved/restored,"'Working environment' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Full state of GUI/plugins saved/restored."
Log level,Granularity of logs to display (OFF/INFO/DEBUG...),"'Log level' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Granularity of logs to display (OFF/INFO/DEBUG...)."
Look and feel,Application theme / L&F chosen by user,"'Look and feel' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Application theme / L&F chosen by user."
Memory usage,Maximum memory (default 254MB),"'Memory usage' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Maximum memory (default 254MB)."
Platform independent,Runs on any OS with a JVM,"'Platform independent' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Runs on any OS with a JVM."
Performance Requirements,Response times; system is considered real-time,"'Performance Requirements' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Response times; system is considered real-time."
Security Requirements,No identity management; low security level,"'Security Requirements' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: No identity management; low security level."
Software Quality Attributes,Pleasant UI; user friendly; accessibility,"'Software Quality Attributes' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Pleasant UI; user friendly; accessibility."
Thumbnails creation library,Library used to create thumbnails,"'Thumbnails creation library' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Library used to create thumbnails."
Form merging option,Whether to include PDF form fields,"'Form merging option' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Whether to include PDF form fields."
Unique filename pattern,Pattern ensuring unique output filenames,"'Unique filename pattern' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Pattern ensuring unique output filenames."
Bookmar names sanitization,Non-file-friendly chars may be stripped,"'Bookmar names sanitization' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Non-file-friendly chars may be stripped."
Recurrent jobs,Saved environment to automate recurrent tasks,"'Recurrent jobs' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Saved environment to automate recurrent tasks."
Preview large files,Ability to preview large PDFs,"'Preview large files' should be described explicitly. Clarify its meaning, scope, and measurable criteria. Example: Ability to preview large PDFs."
